Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
10,10,0.32,10,0.61911356,11.850099
10,20,0.82,10,0.6897502,11.830158
10,30,1.18,9.8,0.7603861,11.817417
10,40,1.18,9.8,0.8310224,11.805502
10,50,1.18,9.8,0.90165806,11.793587
10,60,1.18,9.9,0.9722948,11.781671
10,70,1.19,9.8,1.0429307,11.769754
10,80,1.19,10,1.113567,11.757839
10,90,1.16,9.8,1.1438639,11.745923
10,100,1.19,9.8,1.1441085,11.734007
10,110,1.18,9.8,1.1443527,11.722091
10,120,1.2,9.9,1.1445974,11.710174
10,130,1.21,10,1.1448414,11.698259
10,140,1.18,9.8,1.1450859,11.686343
10,150,1.18,9.8,1.1453305,11.674428
10,160,1.16,10,1.145575,11.662513
10,170,1.16,10,1.1458194,11.650596
10,180,1.18,9.9,1.146064,11.638679
10,190,1.16,10,1.1463082,11.626765
10,200,1.17,10,1.1465527,11.614849
10,210,1.18,9.9,1.1467973,11.602933
10,220,1.17,9.9,1.1470417,11.591016
10,230,1.16,9.8,1.1472858,11.5791
10,240,1.19,9.8,1.1475302,11.567187
10,250,1.15,9.8,1.1477747,11.555269
10,260,1.17,9.8,1.1480194,11.543352
10,270,1.17,9.9,1.1482636,11.531438
10,280,1.2,9.9,1.1485082,11.51952
10,290,1.16,9.9,1.1487528,11.507607
10,300,1.15,9.8,1.1489971,11.495689
10,310,1.16,9.9,1.1492416,11.483773
10,320,1.17,9.9,1.149486,11.471858
10,330,1.18,9.9,1.1497306,11.459942
10,340,1.15,10,1.149975,11.448027
10,350,1.17,10,1.1502193,11.4361105
10,360,1.15,9.9,1.1504637,11.424193
10,370,1.16,9.9,1.1507081,11.412278
10,380,1.17,9.8,1.1509525,11.400363
10,390,1.17,9.9,1.1511971,11.388446
10,400,1.14,9.9,1.1514416,11.376533
10,410,1.17,9.8,1.1516861,11.364615
10,420,1.16,9.9,1.1519303,11.3527
10,430,1.17,9.9,1.1521751,11.340783
10,440,1.16,9.9,1.1524192,11.328866
10,450,1.17,9.9,1.1526638,11.316953
10,460,1.18,10,1.1529082,11.3050375
10,470,1.18,10,1.1531526,11.293119
10,480,1.17,9.9,1.1533973,11.281203
10,490,1.15,9.9,1.1536416,11.269287
10,500,1.18,9.9,1.153886,11.257371
10,510,1.14,9.9,1.1541306,11.245456
10,520,1.2,9.8,1.1543745,11.233542
10,530,1.17,9.8,1.1546193,11.221623
10,540,1.14,10,1.1548636,11.209708
10,550,1.14,10,1.1551081,11.197793
10,560,1.18,9.8,1.1553525,11.185876
10,570,1.16,9.9,1.1555969,11.173962
10,580,1.17,9.8,1.1558417,11.162047
10,590,1.14,9.9,1.1560857,11.150129
10,600,1.17,9.9,1.1563302,11.138213
10,610,1.16,9.8,1.1565748,11.126298
10,620,1.14,10,1.157927,11.114382
10,630,1.17,10,1.1601397,11.102465
10,640,1.17,10,1.1623532,11.090547
10,650,1.19,10,1.1808511,11.078633
10,660,1.2,9.9,1.172197,11.066719
10,670,1.17,10,1.1627688,11.054803
10,680,1.18,10,1.1535077,11.042886
10,690,1.14,9.9,1.1455775,11.030969
10,700,1.16,9.9,1.1397457,11.0190525
10,710,1.16,9.9,1.1373571,11.00714
10,720,1.18,9.8,1.1349688,10.995223
10,730,1.17,9.9,1.1325802,10.983305
10,740,1.18,9.8,1.1301922,10.971392
10,750,1.18,9.8,1.1278037,10.959474
10,760,1.2,10,1.1254153,10.947558
10,770,1.17,9.9,1.123027,10.935645
10,780,1.15,9.8,1.1211551,10.923728
10,790,1.18,9.9,1.1395453,10.911811
10,800,1.17,9.9,1.1651562,10.899898
15.1,10,0.24,15.1,0.5932462,16.278444
15.1,20,0.58,15.1,0.6793705,16.266531
15.1,30,0.95,14.7,0.7502022,16.254614
15.1,40,1.2,14.8,0.8210285,16.2427
15.1,50,1.18,14.8,0.89166427,16.230783
15.1,60,1.2,14.8,0.9623004,16.218866
15.1,70,1.17,14.8,1.0329366,16.206953
15.1,80,1.18,14.8,1.103573,16.195036
15.1,90,1.18,15,1.1510667,16.183119
15.1,100,1.2,14.8,1.1513114,16.171202
15.1,110,1.19,14.8,1.1515555,16.159288
15.1,120,1.17,14.9,1.1518003,16.147371
15.1,130,1.2,14.7,1.1520444,16.135456
15.1,140,1.19,14.8,1.1522888,16.123539
15.1,150,1.17,14.8,1.1525332,16.111626
15.1,160,1.19,14.7,1.1527778,16.099709
15.1,170,1.19,14.8,1.1530222,16.087793
15.1,180,1.19,14.9,1.1532668,16.075878
15.1,190,1.17,14.8,1.1535109,16.063961
15.1,200,1.19,14.7,1.1537558,16.052046
15.1,210,1.19,14.8,1.154,16.04013
15.1,220,1.18,14.8,1.1542445,16.028214
15.1,230,1.2,14.7,1.1544892,16.016298
15.1,240,1.18,14.8,1.1547335,16.004381
15.1,250,1.17,14.8,1.1549779,15.992465
15.1,260,1.18,15,1.155222,15.98055
15.1,270,1.15,15,1.1554667,15.9686365
15.1,280,1.2,14.8,1.1557113,15.956718
15.1,290,1.2,14.8,1.1559554,15.944803
15.1,300,1.21,14.8,1.1562,15.932889
15.1,310,1.18,14.8,1.1564444,15.92097
15.1,320,1.21,14.6,1.1566888,15.909057
15.1,330,1.21,14.7,1.1569332,15.8971405
15.1,340,1.19,14.7,1.1571777,15.885222
15.1,350,1.17,14.8,1.1574222,15.873309
15.1,360,1.19,14.8,1.1576668,15.861392
15.1,370,1.18,14.7,1.1579112,15.849476
15.1,380,1.18,14.8,1.1581556,15.837562
15.1,390,1.18,14.9,1.1583999,15.8256445
15.1,400,1.18,14.9,1.1586447,15.813727
15.1,410,1.18,14.8,1.1588889,15.801812
15.1,420,1.18,14.9,1.1591333,15.789895
15.1,430,1.18,14.8,1.1593779,15.777982
15.1,440,1.19,14.8,1.1596221,15.766067
15.1,450,1.21,14.8,1.1598665,15.754149
15.1,460,1.2,14.8,1.1601112,15.742233
15.1,470,1.17,14.7,1.1603556,15.730317
15.1,480,1.18,14.7,1.1605998,15.718402
15.1,490,1.19,14.7,1.1608444,15.706486
15.1,500,1.19,14.8,1.161089,15.694568
15.1,510,1.19,14.7,1.1613331,15.682652
15.1,520,1.2,14.7,1.1615776,15.670737
15.1,530,1.17,15,1.1618222,15.65882
15.1,540,1.18,14.9,1.1620666,15.646906
15.1,550,1.18,14.8,1.1623113,15.634992
15.1,560,1.19,14.8,1.1625553,15.623073
15.1,570,1.17,14.7,1.1628001,15.611158
15.1,580,1.16,14.8,1.1630442,15.599242
15.1,590,1.2,14.8,1.1632887,15.587327
15.1,600,1.17,14.8,1.1635333,15.57541
15.1,610,1.18,14.9,1.1637775,15.563495
15.1,620,1.17,14.7,1.1640221,15.5515785
15.1,630,1.2,14.7,1.1653663,15.539662
15.1,640,1.19,14.8,1.1723403,15.527747
15.1,650,1.17,14.8,1.1909431,15.515832
15.1,660,1.2,14.8,1.1848611,15.503916
15.1,670,1.19,14.8,1.1754329,15.492001
15.1,680,1.21,14.8,1.1660047,15.480084
15.1,690,1.14,14.9,1.1569681,15.468166
15.1,700,1.18,14.8,1.1490383,15.456254
15.1,710,1.2,14.9,1.1448715,15.444337
15.1,720,1.19,14.8,1.1424834,15.43242
15.1,730,1.2,14.9,1.1400949,15.4205065
15.1,740,1.2,14.8,1.1377066,15.408589
15.1,750,1.17,15.1,1.1353179,15.39667
15.1,760,1.18,14.9,1.1329297,15.384759
15.1,770,1.19,14.7,1.1305413,15.372841
15.1,780,1.19,14.9,1.128153,15.360923
15.1,790,1.18,14.8,1.144267,15.3490095
15.1,800,1.19,14.8,1.1698272,15.337093
20.1,10,0.19,20.1,0.54381394,20.628641
20.1,20,0.45,20.1,0.6328007,20.616724
20.1,30,0.73,19.4,0.72178733,20.604809
20.1,40,0.99,20.1,0.8105469,20.592894
20.1,50,1.18,19.9,0.8813789,20.580976
20.1,60,1.17,20,0.9522103,20.569061
20.1,70,1.17,19.9,1.0230418,20.557146
20.1,80,1.15,20,1.0937743,20.545229
20.1,90,1.17,19.9,1.1581286,20.533312
20.1,100,1.17,19.5,1.1583728,20.521399
20.1,110,1.18,19.9,1.1586173,20.50948
20.1,120,1.17,19.9,1.1588615,20.497566
20.1,130,1.18,19.9,1.1591064,20.485647
20.1,140,1.19,19.8,1.1593505,20.473734
20.1,150,1.17,19.3,1.1595951,20.461819
20.1,160,1.19,19.8,1.1598395,20.449902
20.1,170,1.18,19.9,1.1600844,20.437986
20.1,180,1.19,19.9,1.1603284,20.426071
20.1,190,1.17,19.9,1.1605726,20.414152
20.1,200,1.16,19.3,1.1608175,20.40224
20.1,210,1.19,19.8,1.1610618,20.390322
20.1,220,1.17,20,1.161306,20.378407
20.1,230,1.18,19.3,1.1615506,20.366491
20.1,240,1.17,19.3,1.161795,20.354572
20.1,250,1.17,20,1.1620396,20.342659
20.1,260,1.17,19.9,1.1622843,20.330744
20.1,270,1.18,19.7,1.1625284,20.318827
20.1,280,1.16,20,1.1627728,20.306911
20.1,290,1.17,19.9,1.1630174,20.294996
20.1,300,1.18,19.9,1.1632618,20.283081
20.1,310,1.17,19.9,1.1635062,20.271164
20.1,320,1.18,20,1.1637506,20.259249
20.1,330,1.17,20,1.163995,20.247332
20.1,340,1.15,20.1,1.1642395,20.235415
20.1,350,1.17,20,1.1644841,20.223501
20.1,360,1.18,19.9,1.1647285,20.211584
20.1,370,1.18,19.9,1.1649729,20.19967
20.1,380,1.17,19.7,1.1652175,20.187754
20.1,390,1.16,19.3,1.1654618,20.175837
20.1,400,1.17,19.9,1.1657064,20.16392
20.1,410,1.18,19.9,1.1659508,20.152002
20.1,420,1.17,19.4,1.166195,20.140089
20.1,430,1.16,19.3,1.1664395,20.128172
20.1,440,1.18,19.8,1.1666838,20.116259
20.1,450,1.18,19.3,1.1669284,20.104342
20.1,460,1.16,19.9,1.1671728,20.092424
20.1,470,1.17,19.5,1.1674169,20.08051
20.1,480,1.18,19.9,1.1676618,20.068594
20.1,490,1.18,19.8,1.1679062,20.056679
20.1,500,1.17,19.3,1.1681505,20.044762
20.1,510,1.18,19.9,1.1683952,20.032846
20.1,520,1.18,19.8,1.1686395,20.02093
20.1,530,1.18,19.9,1.168884,20.009016
20.1,540,1.17,20,1.1691283,19.997099
20.1,550,1.17,19.8,1.1693729,19.985182
20.1,560,1.18,19.8,1.1696173,19.973269
20.1,570,1.17,20,1.1698618,19.961351
20.1,580,1.18,19.8,1.1701063,19.949434
20.1,590,1.19,19.9,1.1703507,19.937517
20.1,600,1.19,19.8,1.1705948,19.925602
20.1,610,1.17,19.9,1.1708397,19.913687
20.1,620,1.17,19.9,1.171084,19.901773
20.1,630,1.18,19.9,1.1713284,19.889856
20.1,640,1.17,19.9,1.1822342,19.87794
20.1,650,1.15,20,1.2008373,19.866026
20.1,660,1.18,19.9,1.1972771,19.854109
20.1,670,1.18,19.8,1.1878484,19.842192
20.1,680,1.17,20,1.1784202,19.830278
20.1,690,1.11,19.4,1.1689919,19.818361
20.1,700,1.1,19.3,1.1602048,19.806444
20.1,710,1.17,20,1.152275,19.79453
20.1,720,1.18,19.8,1.1498501,19.782612
20.1,730,1.18,19.9,1.1474615,19.770697
20.1,740,1.18,19.8,1.1450733,19.758781
20.1,750,1.18,19.9,1.1426852,19.746866
20.1,760,1.16,19.3,1.1402965,19.73495
