Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,10.0,0.32,10.0,0.942,11.879999999999999
10.0,20.0,0.82,10.0,0.942,11.88
10.0,30.0,1.18,9.8,1.0619999999999998,10.820000000000002
10.0,40.0,1.18,9.8,1.108,9.860000000000001
10.0,50.0,1.18,9.8,1.182,9.820000000000002
10.0,60.0,1.18,9.9,1.184,9.86
10.0,70.0,1.19,9.8,1.18,9.86
10.0,80.0,1.19,10.0,1.182,9.86
10.0,90.0,1.16,9.8,1.182,9.84
10.0,100.0,1.19,9.8,1.184,9.860000000000001
10.0,110.0,1.18,9.8,1.1880000000000002,9.86
10.0,120.0,1.2,9.9,1.1919999999999997,9.86
10.0,130.0,1.21,10.0,1.194,10.84
10.0,140.0,1.18,9.8,1.19,10.88
10.0,150.0,1.18,9.8,1.176,10.919999999999998
10.0,160.0,1.16,10.0,1.172,11.86
10.0,170.0,1.16,10.0,1.172,11.94
10.0,180.0,1.18,9.9,1.168,10.98
10.0,190.0,1.16,10.0,1.168,10.940000000000001
10.0,200.0,1.17,10.0,1.174,10.9
10.0,210.0,1.18,9.9,1.174,10.919999999999998
10.0,220.0,1.17,9.9,1.1779999999999997,10.88
10.0,230.0,1.16,9.8,1.174,10.84
10.0,240.0,1.19,9.8,1.172,11.819999999999999
10.0,250.0,1.15,9.8,1.172,11.86
10.0,260.0,1.17,9.8,1.1779999999999997,10.88
10.0,270.0,1.17,9.9,1.166,10.9
10.0,280.0,1.2,9.9,1.1759999999999997,11.9
10.0,290.0,1.16,9.9,1.1880000000000002,11.86
10.0,300.0,1.15,9.8,1.19,12.84
10.0,310.0,1.16,9.9,1.192,12.820000000000002
10.0,320.0,1.17,9.9,1.188,13.8
10.0,330.0,1.18,9.9,1.18,12.84
10.0,340.0,1.15,10.0,1.166,11.879999999999999
10.0,350.0,1.17,10.0,1.16,10.919999999999998
10.0,360.0,1.15,9.9,1.1599999999999997,9.919999999999998
10.0,370.0,1.16,9.9,1.164,9.9
10.0,380.0,1.17,9.8,1.158,9.879999999999999
10.0,390.0,1.17,9.9,1.162,9.860000000000001
10.0,400.0,1.14,9.9,1.162,9.860000000000001
10.0,410.0,1.17,9.8,1.162,9.879999999999999
10.0,420.0,1.16,9.9,1.164,10.879999999999999
10.0,430.0,1.17,9.9,1.172,11.860000000000001
10.0,440.0,1.16,9.9,1.176,12.860000000000003
10.0,450.0,1.17,9.9,1.182,12.84
10.0,460.0,1.18,10.0,1.182,12.84
10.0,470.0,1.18,10.0,1.18,12.819999999999999
10.0,480.0,1.17,9.9,1.1759999999999997,11.84
10.0,490.0,1.15,9.9,1.172,10.88
10.0,500.0,1.18,9.9,1.174,11.84
10.0,510.0,1.14,9.9,1.18,12.8
10.0,520.0,1.2,9.8,1.166,11.9
10.0,530.0,1.17,9.8,1.158,11.919999999999998
10.0,540.0,1.14,10.0,1.162,11.940000000000001
10.0,550.0,1.14,10.0,1.162,11.88
10.0,560.0,1.18,9.8,1.16,10.86
10.0,570.0,1.16,9.9,1.1599999999999997,10.84
10.0,580.0,1.17,9.8,1.164,10.84
10.0,590.0,1.14,9.9,1.168,10.84
10.0,600.0,1.17,9.9,1.156,9.88
10.0,610.0,1.16,9.8,1.156,9.92
10.0,620.0,1.14,10.0,1.164,10.92
10.0,630.0,1.17,10.0,1.172,10.9
10.0,640.0,1.17,10.0,1.1780000000000002,10.940000000000001
10.0,650.0,1.19,10.0,1.186,10.940000000000001
10.0,660.0,1.2,9.9,1.19,11.9
10.0,670.0,1.17,10.0,1.1780000000000002,10.919999999999998
10.0,680.0,1.18,10.0,1.176,10.9
10.0,690.0,1.14,9.9,1.164,11.9
10.0,700.0,1.16,9.9,1.164,11.879999999999999
10.0,710.0,1.16,9.9,1.17,10.879999999999999
10.0,720.0,1.18,9.8,1.18,11.860000000000001
10.0,730.0,1.17,9.9,1.184,11.820000000000002
10.0,740.0,1.18,9.8,1.186,10.86
10.0,750.0,1.18,9.8,1.18,11.940000000000001
10.0,760.0,1.2,10.0,1.1800000000000002,11.84
10.0,770.0,1.17,9.9,1.1799999999999997,10.84
10.0,780.0,1.15,9.8,1.1780000000000002,10.9
10.0,790.0,1.18,9.9,1.174,11.84
10.0,800.0,1.17,9.9,1.174,11.84
15.1,10.0,0.24,15.1,0.598,16.0
15.1,20.0,0.58,15.1,0.7999999999999999,14.939999999999998
15.1,30.0,0.95,14.7,1.018,13.84
15.1,40.0,1.2,14.8,1.022,14.84
15.1,50.0,1.18,14.8,1.1400000000000001,14.780000000000001
15.1,60.0,1.2,14.8,1.184,15.84
15.1,70.0,1.17,14.8,1.182,14.820000000000002
15.1,80.0,1.18,14.8,1.182,14.88
15.1,90.0,1.18,15.0,1.178,14.820000000000002
15.1,100.0,1.2,14.8,1.184,14.76
15.1,110.0,1.19,14.8,1.188,13.8
15.1,120.0,1.17,14.9,1.186,15.819999999999999
15.1,130.0,1.2,14.7,1.182,15.819999999999999
15.1,140.0,1.19,14.8,1.182,13.779999999999998
15.1,150.0,1.17,14.8,1.182,13.8
15.1,160.0,1.19,14.7,1.1800000000000002,13.839999999999998
15.1,170.0,1.19,14.8,1.182,14.8
15.1,180.0,1.19,14.9,1.186,14.780000000000001
15.1,190.0,1.17,14.8,1.186,14.8
15.1,200.0,1.19,14.7,1.184,14.8
15.1,210.0,1.19,14.8,1.184,15.779999999999998
15.1,220.0,1.18,14.8,1.182,15.819999999999999
15.1,230.0,1.2,14.7,1.18,15.7
15.1,240.0,1.18,14.8,1.1799999999999997,13.84
15.1,250.0,1.17,14.8,1.166,13.88
15.1,260.0,1.18,15.0,1.176,14.879999999999999
15.1,270.0,1.15,15.0,1.176,15.86
15.1,280.0,1.2,14.8,1.18,15.919999999999998
15.1,290.0,1.2,14.8,1.1800000000000002,13.860000000000003
15.1,300.0,1.21,14.8,1.188,16.840000000000003
15.1,310.0,1.18,14.8,1.19,16.82
15.1,320.0,1.21,14.6,1.1939999999999997,15.8
15.1,330.0,1.21,14.7,1.186,15.8
15.1,340.0,1.19,14.7,1.182,15.819999999999999
15.1,350.0,1.17,14.8,1.188,14.74
15.1,360.0,1.19,14.8,1.182,14.76
15.1,370.0,1.18,14.7,1.18,14.8
15.1,380.0,1.18,14.8,1.182,14.820000000000002
15.1,390.0,1.18,14.9,1.176,15.719999999999999
15.1,400.0,1.18,14.9,1.178,15.88
15.1,410.0,1.18,14.8,1.18,15.88
15.1,420.0,1.18,14.9,1.18,15.76
15.1,430.0,1.18,14.8,1.176,14.74
15.1,440.0,1.19,14.8,1.182,15.719999999999999
15.1,450.0,1.21,14.8,1.1839999999999997,15.680000000000001
15.1,460.0,1.2,14.8,1.1800000000000002,15.780000000000001
15.1,470.0,1.17,14.7,1.182,15.680000000000001
15.1,480.0,1.18,14.7,1.186,14.739999999999998
15.1,490.0,1.19,14.7,1.184,14.720000000000002
15.1,500.0,1.19,14.8,1.19,14.720000000000002
15.1,510.0,1.19,14.7,1.188,14.780000000000001
15.1,520.0,1.2,14.7,1.186,14.819999999999999
15.1,530.0,1.17,15.0,1.184,15.839999999999998
15.1,540.0,1.18,14.9,1.172,14.919999999999998
15.1,550.0,1.18,14.8,1.1679999999999997,14.88
15.1,560.0,1.19,14.8,1.174,14.8
15.1,570.0,1.17,14.7,1.176,16.82
15.1,580.0,1.16,14.8,1.176,14.779999999999998
15.1,590.0,1.2,14.8,1.17,13.820000000000002
15.1,600.0,1.17,14.8,1.1800000000000002,14.84
15.1,610.0,1.18,14.9,1.182,14.820000000000002
15.1,620.0,1.17,14.7,1.176,14.860000000000003
15.1,630.0,1.2,14.7,1.1839999999999997,14.86
15.1,640.0,1.19,14.8,1.188,16.82
15.1,650.0,1.17,14.8,1.186,15.820000000000002
15.1,660.0,1.2,14.8,1.1939999999999997,15.819999999999999
15.1,670.0,1.19,14.8,1.1839999999999997,15.820000000000002
15.1,680.0,1.21,14.8,1.182,15.86
15.1,690.0,1.14,14.9,1.17,15.76
15.1,700.0,1.18,14.8,1.168,15.74
15.1,710.0,1.2,14.9,1.1759999999999997,16.88
15.1,720.0,1.19,14.8,1.19,14.819999999999999
15.1,730.0,1.2,14.9,1.188,15.9
15.1,740.0,1.2,14.8,1.184,15.9
15.1,750.0,1.17,15.1,1.184,15.88
15.1,760.0,1.18,14.9,1.1860000000000002,14.88
15.1,770.0,1.19,14.7,1.182,14.88
15.1,780.0,1.19,14.9,1.186,14.820000000000002
15.1,790.0,1.18,14.8,1.186,15.84
