Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,10.0,0.32,10.0,0.425835821566268,11.448698256402409
10.0,20.0,0.82,10.0,0.7208592734541455,10.832664189745483
10.0,30.0,1.18,9.8,0.995621944928929,10.4805028016624
10.0,40.0,1.18,9.8,1.0426152672755127,10.750378019935185
10.0,50.0,1.18,9.8,1.1264443840373888,10.686691664172944
10.0,60.0,1.18,9.9,1.141704236563981,10.608554538163084
10.0,70.0,1.19,9.8,1.1385153973415725,10.571096855871414
10.0,80.0,1.19,10.0,1.174262468511642,10.620439173579744
10.0,90.0,1.16,9.8,1.1802172528171926,10.545714824621415
10.0,100.0,1.19,9.8,1.1866786384303016,10.659699315698457
10.0,110.0,1.18,9.8,1.1930623149744544,10.544996009237376
10.0,120.0,1.2,9.9,1.1915656016500733,10.568561784790765
10.0,130.0,1.21,10.0,1.194136578861072,10.624490410641906
10.0,140.0,1.18,9.8,1.1815093282033287,10.57436378439408
10.0,150.0,1.18,9.8,1.1809353091908776,10.597324935924027
10.0,160.0,1.16,10.0,1.1743812901784256,10.638526087453972
10.0,170.0,1.16,10.0,1.1730149792377877,10.642662098196158
10.0,180.0,1.18,9.9,1.1795482608487475,10.647063249726108
10.0,190.0,1.16,10.0,1.1680577270555044,10.64913106792272
10.0,200.0,1.17,10.0,1.1706873970099605,10.647533745331575
10.0,210.0,1.18,9.9,1.1734412219687627,10.621933370982628
10.0,220.0,1.17,9.9,1.1701553330298577,10.615669381724814
10.0,230.0,1.16,9.8,1.1674836094733394,10.603537199921426
10.0,240.0,1.19,9.8,1.1764718859168197,10.586005018118039
10.0,250.0,1.15,9.8,1.1747934956936348,10.588537977102414
10.0,260.0,1.17,9.8,1.1710684388037833,10.602807321177934
10.0,270.0,1.17,9.9,1.1702167390891225,10.62994180604122
10.0,280.0,1.2,9.9,1.1676583488659373,10.632476290904501
10.0,290.0,1.16,9.9,1.1644332919760851,10.6344782440295
10.0,300.0,1.15,9.8,1.1634415684195667,10.639527072154499
10.0,310.0,1.16,9.9,1.1695148911611795,10.644575900279497
