Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,10.0,3.0,0.49,10.0,0.8859999999999999,9.94
10.0,15.0,3.0,0.76,9.9,0.8859999999999999,9.94
10.0,20.0,3.0,1.0,10.0,0.8860000000000001,9.94
10.0,25.0,3.0,1.1,9.9,1.002,9.92
10.0,30.0,3.0,1.08,9.9,1.064,9.9
10.0,35.0,3.0,1.07,9.9,1.08,9.9
10.0,40.0,3.0,1.07,9.8,1.078,9.9
10.0,45.0,3.0,1.08,10.0,1.078,9.92
10.0,50.0,3.0,1.09,9.9,1.08,9.919999999999998
10.0,55.0,3.0,1.08,10.0,1.08,9.919999999999998
10.0,60.0,3.0,1.08,9.9,1.078,9.9
10.0,65.0,3.0,1.07,9.8,1.076,9.9
10.0,70.0,3.0,1.07,9.9,1.076,9.879999999999999
10.0,75.0,3.0,1.08,9.9,1.076,9.88
10.0,80.0,3.0,1.08,9.9,1.078,9.88
10.0,85.0,3.0,1.08,9.9,1.078,9.879999999999999
10.0,90.0,3.0,1.08,9.8,1.08,9.879999999999999
10.0,95.0,3.0,1.08,9.9,1.082,9.88
10.0,100.0,3.0,1.08,9.9,1.082,9.879999999999999
10.0,105.0,3.0,1.09,10.0,1.08,9.9
10.0,110.0,3.0,1.08,9.8,1.08,9.9
10.0,115.0,3.0,1.08,9.9,1.08,9.9
10.0,120.0,3.0,1.07,9.9,1.076,9.86
10.0,125.0,3.0,1.08,9.9,1.076,9.879999999999999
10.0,130.0,3.0,1.07,9.8,1.078,9.879999999999999
10.0,135.0,3.0,1.08,9.9,1.082,9.879999999999999
10.0,140.0,3.0,1.09,9.9,1.082,9.879999999999999
10.0,145.0,3.0,1.09,9.9,1.082,9.88
10.0,150.0,3.0,1.08,9.9,1.082,9.88
10.0,155.0,3.0,1.09,9.9,1.084,9.9
10.0,160.0,3.0,1.09,9.9,1.0859999999999999,9.92
10.0,165.0,3.0,1.09,9.9,1.0879999999999999,10.879999999999999
10.0,170.0,3.0,1.08,9.9,1.0879999999999999,10.86
10.0,175.0,3.0,1.09,10.0,1.09,10.84
10.0,180.0,3.0,1.08,9.9,1.094,9.86
10.0,185.0,3.0,1.1,9.9,1.094,9.86
