Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,10.0,0.31,10.0,0.49688979983329773,11.843032836914062
10.0,15.0,0.6,9.9,0.6361169219017029,11.744739532470703
10.0,20.0,0.82,10.0,0.7946387529373169,11.664621353149414
10.0,25.0,1.14,9.9,0.9075433611869812,11.587348937988281
10.0,30.0,1.1,9.8,0.9659854173660278,11.510076522827148
10.0,35.0,1.12,9.8,0.9835620522499084,11.432805061340332
10.0,40.0,1.15,9.9,1.0018523931503296,11.3555326461792
10.0,45.0,1.12,10.0,1.0187853574752808,11.281037330627441
10.0,50.0,1.13,9.9,1.0336096286773682,11.2069091796875
10.0,55.0,1.12,10.0,1.0484338998794556,11.13459587097168
10.0,60.0,1.13,9.8,1.0629866123199463,11.067264556884766
10.0,65.0,1.09,9.9,1.0741699934005737,10.999935150146484
10.0,70.0,1.16,9.9,1.0818676948547363,10.93260383605957
10.0,75.0,1.08,9.8,1.089403510093689,10.865421295166016
10.0,80.0,1.11,10.0,1.0942213535308838,10.805537223815918
10.0,85.0,1.11,9.9,1.098461389541626,10.74565315246582
10.0,90.0,1.13,10.0,1.0993884801864624,10.685770988464355
10.0,95.0,1.12,9.9,1.099867582321167,10.626866340637207
10.0,100.0,1.16,9.9,1.0989941358566284,10.570755004882812
10.0,105.0,1.12,9.8,1.098069429397583,10.515448570251465
10.0,110.0,1.14,9.9,1.0965771675109863,10.462493896484375
10.0,115.0,1.09,9.8,1.0942094326019287,10.414043426513672
10.0,120.0,1.13,10.0,1.0918114185333252,10.365592956542969
10.0,125.0,1.15,9.9,1.0894134044647217,10.317144393920898
10.0,130.0,1.14,9.8,1.0872234106063843,10.279266357421875
10.0,135.0,1.15,9.9,1.0859700441360474,10.250814437866211
10.0,140.0,1.12,9.9,1.0847166776657104,10.22247314453125
10.0,145.0,1.13,9.8,1.0835450887680054,10.206707000732422
10.0,150.0,1.11,9.8,1.0824617147445679,10.190943717956543
10.0,155.0,1.14,10.0,1.0813783407211304,10.175176620483398
10.0,160.0,1.11,9.8,1.0802950859069824,10.15941047668457
10.0,165.0,1.14,9.9,1.0792498588562012,10.144243240356445
10.0,170.0,1.13,9.9,1.0783113241195679,10.130197525024414
10.0,175.0,1.12,9.9,1.0774760246276855,10.116151809692383
10.0,180.0,1.1,9.9,1.0767520666122437,10.102106094360352
10.0,185.0,1.13,9.9,1.0760602951049805,10.112964630126953
