,y_true,ARIMA_pred,SVR_pred,LSTM_pred,TCN_pred
0,17937.00083,15717.0,16912.3166,19101.49139496684,19026.43873
1,19263.99993,18576.87388,16370.15168,18565.845786601305,18417.4242
2,16234.00026,20147.11155,17044.07937,19006.439372122288,18583.87679
3,14814.00012,13204.0,15404.1746,17462.21260818839,17404.97428
4,13504.00011,13394.0,14688.53965,16249.269695311785,16206.80228
5,12187.99956,12194.0,13517.28282,15052.45828603208,15060.02782
6,17039.99981,10872.0,13204.17658,13583.04824411869,13761.61943
7,16229.00043,21892.0,15247.49591,15383.288607820868,15001.94486
8,13112.00026,17060.43323,15745.58563,15260.335354208946,14805.339
9,10691.00043,9995.0,15144.73518,13798.100071877241,13340.99765
10,12504.99999,8270.0,15178.41143,12221.224709063768,11712.78718
11,11084.99985,14319.0,14947.11877,12720.404360860586,12088.19925
12,11190.00014,9665.0,13408.77196,11855.242196664214,11851.255
13,10689.99973,11295.0,13801.44995,11596.72041478753,11500.29771
14,10089.99979,11818.2048,12833.76105,11165.245154559612,10874.44384
15,9370.000039,9811.926393,13161.9372,10559.200603201985,10160.20226
16,9072.99988,8703.390113,12032.91105,9848.625818133354,9527.028581
17,7762.000083,8776.0,11113.43795,9343.714162312448,9039.875718
18,7047.999958,11569.83767,9069.589432,8374.181968569756,8093.638311
19,6954.999834,10737.34864,7455.640697,7758.780392304063,7604.34725
20,7360.999878,6448.673352,5985.391509,7406.816891908646,7293.66593
21,7158.99987,7767.0,5835.730779,7340.459317013621,7171.895157
22,5952.999902,7206.263556,4925.417492,7108.440996043384,6754.196537
23,6754.000069,4747.0,4810.622685,6449.489593096077,6102.600755
24,5646.000065,10980.50121,4828.667906,6690.64643701911,6096.775107
25,6043.999999,4538.0,4542.7655,6171.936107300222,5736.182156
26,5146.000113,5951.856768,4141.835595,6273.740115985274,5810.522397
27,5140.000031,7022.881965,4024.349254,5806.683464877307,5470.552864
28,4330.999984,4977.317406,3744.75483,5656.811780259013,5261.471969
29,4736.000014,4278.169134,3646.326836,5122.949303921312,4872.96264
30,4534.000006,4403.99154,3260.849523,5102.932734571397,4754.991093
31,5544.000047,5208.406603,3299.255902,4913.286119971424,4537.123299
32,4440.000097,5208.406603,3601.469263,5404.188174061477,4795.236537
33,2724.000041,5056.752052,3716.298533,5019.412657357752,4456.651461
34,4236.000062,1008.0,3734.826269,4053.1928798109293,4056.363912
35,4234.000035,4248.395045,3515.047391,4487.695493809879,4112.237295
36,5752.999921,4277.447229,3450.65254,4543.23332009837,4241.01
37,5243.000062,5987.382661,4379.871005,5410.617456384003,4875.489413
38,3531.999959,5485.291568,4911.855659,5511.487323306501,4933.525552
39,4235.000048,3493.834976,4914.443279,4767.205857411027,4283.816185
40,4840.000059,4443.589987,4963.609562,4933.063989706337,4401.594936
41,4037.000095,5082.385207,4689.96657,5216.353381346911,4698.767924
42,4129.999989,4232.522541,4843.580465,4875.8545775562525,4568.594925
43,3527.000006,4422.469858,4778.810382,4830.894357476383,4417.631878
44,3827.999991,3579.769948,4515.732261,4466.994728736579,4072.430462
45,4331.999998,3817.794837,4728.473561,4444.082778960466,3998.042022
46,4636.000024,4500.262769,3376.527999,4607.229375436902,4131.786105
47,4537.000047,4940.0,3533.069144,4842.894292064011,4246.909323
48,4840.000059,4392.945856,3684.236817,4931.4334877207875,4247.759461
49,4532.999992,4917.161456,3605.684532,5228.452238563448,4475.486927
50,4234.000035,4506.51142,3749.530659,5210.385890971869,4547.464959
51,4441.000111,3935.0,3498.307906,5055.833628229797,4532.714241
52,5448.000111,4457.976119,3372.074183,5119.1190931759775,4632.093842
53,5442.000029,6455.0,4006.998687,5669.881043218076,5116.22509
54,6348.999809,5610.456897,4422.11848,5848.192868888378,5275.5681
55,5545.000061,523552.9132,5331.521267,6470.295018769801,5702.318944
56,4035.000067,5735.180758,5386.148512,6295.815239995718,5605.090164
57,5043.000081,2525.0,5237.165302,5505.102108605206,5070.728484
58,6248.999819,5201.901172,4980.255661,5749.838528677821,5332.798169
59,6048.999838,7455.0,5542.459306,6362.966950148344,5933.782288
60,7358.000066,6321.36498,5984.510809,6451.743468306959,6057.258845
61,8460.999773,7764.879961,7047.895783,7276.287220709026,6570.314289
62,6043.999999,8981.709937,8508.354864,8219.12040347606,7213.924651
63,8874.999926,4299.855218,8498.829844,7373.710632421076,6714.103724
64,8264.000062,9461.479313,8832.790584,8773.660922519863,7838.447307
65,9176.999925,8809.991375,9466.459204,8895.266900420189,8229.689747
66,9174.999897,9449.541285,10060.35858,9585.465001046658,8926.319884
67,10182.00013,9411.820179,9521.89131,9890.111811220646,9333.832457
68,9881.999697,11028.77069,10515.79183,10601.061171069741,9847.166078
69,11187.99965,10551.92959,9970.223985,10672.579248026013,10057.31997
70,10684.99989,8408.664815,9937.866268,11486.757928684354,10686.11902
71,11594.00016,11402.50682,10584.73773,11529.904720246792,10847.42488
72,14322.99961,6062.257691,10809.01978,12125.978972300887,11355.57413
73,14419.99979,6062.257691,12912.38475,13857.399482771754,12792.71382
74,14315.00042,15419.61296,13725.24026,14594.669147476554,13677.71284
75,14219.99981,11006.81956,13576.34234,14993.351670980453,14008.90947
76,17039.99981,14125.0,13696.04025,15318.388018652797,14413.95242
77,18349.00004,14125.0,15185.46121,17029.928523495793,15974.8698
78,20570.0008,19658.0,16508.00941,18326.07569563389,17503.46541
79,24108.99986,22302.36787,18322.42723,20125.32912823558,19155.47056
80,19869.00063,22302.36787,22935.3174,22807.971276789904,21417.14574
81,21780.00037,20529.33807,23287.22234,21776.695296287537,21056.20989
82,18953.00004,22867.90941,24567.76856,23056.554892003536,22239.63484
83,21189.99918,18584.94129,24124.42313,21987.02270781994,21772.49235
84,27021.99999,18584.94129,23179.38416,22887.812625706196,22583.90578
85,28124.00083,28896.55648,25694.75565,25918.438417613506,25150.55094
86,27619.99944,29951.6072,27831.47782,27120.97769957781,26300.13379
87,27839.9997,28812.78394,27634.94973,27494.180875331163,26644.24866
88,27839.9997,28372.91728,27364.59974,28120.407479137182,26989.83797
89,29643.99958,26626.92453,27283.67487,28721.926836639643,27713.14554
90,25817.99913,32624.56486,28455.99266,30140.803251981735,29416.75755
91,29551.00037,23538.82072,29084.64809,28866.8964574337,28577.77063
92,29347.9992,25436.94075,28635.53989,30778.226703882217,29903.84798
93,29748.99987,29271.42756,28303.92066,30697.557250916958,29966.6627
94,26822.99979,29902.60589,28840.65267,30749.79390743375,30083.1169
95,30556.9999,23897.0,29233.87349,28977.889942258596,28615.01144
96,31782.00082,34291.0,29398.93761,30348.240562021732,29243.35146
97,30450.00004,33007.0,31484.28427,31213.879207372665,30366.34685
98,33077.99834,29118.0,30119.07778,30930.641916513443,30442.51038
99,32279.99982,35930.64589,32937.31958,32433.452461093664,31524.53758
100,29344.00007,32458.94736,32425.69148,32536.69738918543,31824.5481
101,33481.99928,27043.29396,31241.50634,31460.264949977398,31029.35522
102,36215.99857,37620.0,33285.49263,33579.28222298622,32709.47552
103,37630.99887,38950.0,34182.78123,35109.53404253721,34218.46104
104,35107.00015,39819.1995,35347.41643,36300.362354159355,35781.72318
105,35602.00073,33929.75912,33813.41066,35668.54650706053,35412.89555
106,34796.99913,36097.0,34919.88979,36318.37132203579,35696.73877
107,37420.99829,33992.0,35720.26245,36236.47164797783,35793.06324
108,41137.99932,39467.02625,36538.55948,37793.329293847084,37213.42143
109,43573.99866,44493.87008,37406.32679,39897.44803857803,39344.54996
110,42458.99971,45687.92883,36849.1857,41375.00967234373,41025.9831
111,39637.00105,42192.25207,36108.3033,41450.73620712757,41542.64658
112,40058.00107,36815.0,36230.88618,40769.0431573987,41004.36793
113,40136.00076,40479.0,38848.97058,41377.8924292326,41192.20249
114,35090.00107,39734.78192,40069.94919,41947.37829840183,41734.12039
115,37927.00108,30044.0,37241.67859,39922.80895459652,39804.09078
116,39029.00008,40764.0,37279.22334,40897.52965170145,39736.10913
117,39233.99898,40131.0,38487.42376,40611.33248561621,39379.39643
118,36100.00157,39995.32428,39115.3893,39735.510547459126,38900.77065
119,37416.99915,32966.0,36751.10399,37362.23778915405,36931.85137
120,34902.00125,38734.0,35938.3833,37400.51786279678,36402.19161
121,31463.00081,38734.0,35905.06338,36185.705748319626,35551.46618
122,36512.00078,27463.41129,33076.05759,34522.2595435977,34032.82985
123,36822.0018,41561.0,34136.33438,36594.9323682785,35254.11624
124,32768.99985,35647.21978,36433.18326,36471.16478174925,35525.02194
125,34397.99987,30080.66953,33424.39916,34225.3062056303,33863.62855
126,36419.9986,36027.0,32616.47999,34595.922244787216,33781.84639
127,35006.00084,38442.0,33412.05481,35298.40786713362,34277.65487
128,31975.00047,33592.0,34155.39327,34856.604258179665,34461.9273
129,30770.99961,28944.0,32493.77909,33665.73555123806,33382.68922
130,32677.00135,30548.3951,30961.49121,33111.511768221855,32374.07318
131,33781.00176,33147.66451,32461.88011,33724.73107916117,32708.76676
