Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,10.0,3.0,0.49,10.0,0.5260351165208111,10.984613291816304
10.0,15.0,3.0,0.76,9.9,0.6860430204855483,9.456273250168016
10.0,20.0,3.0,1.0,10.0,0.9237738272417051,10.965177525541836
10.0,25.0,3.0,1.1,9.9,1.0598774575406702,10.841650091544892
10.0,30.0,3.0,1.08,9.9,1.0645946416172185,10.11246074475699
10.0,35.0,3.0,1.07,9.9,1.0782050702456971,10.133564406866364
10.0,40.0,3.0,1.07,9.8,1.0768792080238145,11.75411377406005
10.0,45.0,3.0,1.08,10.0,1.0739975102351487,9.957987819289496
10.0,50.0,3.0,1.09,9.9,1.0773068602597788,9.866878459808323
10.0,55.0,3.0,1.08,10.0,1.084439681693824,9.084165968485673
10.0,60.0,3.0,1.08,9.9,1.088079913624245,9.077426332255213
10.0,65.0,3.0,1.07,9.8,1.0867233970828116,9.07059724289974
10.0,70.0,3.0,1.07,9.9,1.087140325611505,9.105908677632817
10.0,75.0,3.0,1.08,9.9,1.085935330659624,9.114607615621098
10.0,80.0,3.0,1.08,9.9,1.0857827793880113,9.132832334560144
10.0,85.0,3.0,1.08,9.9,1.0839218324563924,9.13753279842733
10.0,90.0,3.0,1.08,9.8,1.083931720189852,9.113699928961182
10.0,95.0,3.0,1.08,9.9,1.086183674032188,9.2526923222424
10.0,100.0,3.0,1.08,9.9,1.087700204590456,10.614804523355321
10.0,105.0,3.0,1.09,10.0,1.0933912083127117,9.141127099674295
10.0,110.0,3.0,1.08,9.8,1.0902310695010906,9.074097615624819
10.0,115.0,3.0,1.08,9.9,1.0836660403525187,9.149015511683437
10.0,120.0,3.0,1.07,9.9,1.0824908144588616,9.146809859827968
10.0,125.0,3.0,1.08,9.9,1.0849161806973644,9.61574695489802
10.0,130.0,3.0,1.07,9.8,1.0818644680612943,9.264418888756142
10.0,135.0,3.0,1.08,9.9,1.0848187526529705,9.291140454511353
10.0,140.0,3.0,1.09,9.9,1.0888530134027872,9.29132868693323
10.0,145.0,3.0,1.09,9.9,1.0889472979944619,9.293516919355104
10.0,150.0,3.0,1.08,9.9,1.089174892077612,9.292906677655886
10.0,155.0,3.0,1.09,9.9,1.0892774645822916,9.292096435956667
10.0,160.0,3.0,1.09,9.9,1.0892932988947306,9.291336548261354
10.0,165.0,3.0,1.09,9.9,1.0893291570490276,9.290946680097292
10.0,170.0,3.0,1.08,9.9,1.0893650152033243,9.29435681193323
10.0,175.0,3.0,1.09,10.0,1.088960873357621,9.324498751223583
10.0,180.0,3.0,1.08,9.9,1.0865892311393721,9.301108883059525
10.0,185.0,3.0,1.1,9.9,1.093468499554584,9.288320540774368
10.0,190.0,3.0,1.1,9.8,1.0935643338670231,9.263064005943642
10.0,195.0,3.0,1.1,9.8,1.0940001920213203,9.261675663658483
10.0,200.0,3.0,1.1,9.8,1.0940360501756168,9.264484269615515
10.0,205.0,3.0,1.1,9.9,1.0941118096436955,9.293629260663698
10.0,210.0,3.0,1.1,9.9,1.0941869015397525,9.300439392499635
10.0,215.0,3.0,1.11,9.9,1.0973505106045194,9.301049524335573
10.0,220.0,3.0,1.11,9.8,1.0973656025005765,9.271124796959265
10.0,225.0,3.0,1.1,9.9,1.0944006943966325,9.297469788007449
10.0,230.0,3.0,1.1,9.9,1.0942755233501362,9.287679919843384
10.0,235.0,3.0,1.1,9.8,1.0955172819128607,9.270158244224891
10.0,240.0,3.0,1.11,10.0,1.0977057071422518,9.27116837606083
10.0,245.0,3.0,1.11,9.8,1.097700799038309,9.276178507896766
10.0,250.0,3.0,1.1,10.0,1.0949316528184183,9.334855306399366
10.0,255.0,3.0,1.09,9.8,1.0914710477184217,9.276600297447548
10.0,260.0,3.0,1.11,9.8,1.0965237759517614,9.273010429283485
10.0,265.0,3.0,1.09,9.8,1.0909765280269543,9.27422056111942
10.0,270.0,3.0,1.1,9.8,1.0935692324184347,9.278032218834266
10.0,275.0,3.0,1.1,9.8,1.0944819844936298,9.284042350670202
10.0,280.0,3.0,1.11,9.9,1.0973747127269686,9.30091914917281
10.0,285.0,3.0,1.11,9.9,1.097907440960306,9.318795947675417
10.0,290.0,3.0,1.11,10.0,1.0979401691936435,9.348939412844677
10.0,295.0,3.0,1.11,9.8,1.097859695462273,9.32094954468062
10.0,300.0,3.0,1.11,9.8,1.0977324236956103,9.292493009849892
10.0,305.0,3.0,1.11,9.9,1.0969462045318397,9.314838000898067
10.0,310.0,3.0,1.1,10.0,1.094198932765176,9.349579940188429
10.0,315.0,3.0,1.1,9.9,1.0937316609985133,9.323056738691042
10.0,320.0,3.0,1.1,9.8,1.0937243892318507,9.290135063072546
10.0,325.0,3.0,1.1,9.9,1.093717117465188,9.321277002362915
10.0,330.0,3.0,1.1,9.9,1.0936898456985253,9.325690185956667
10.0,335.0,3.0,1.1,9.9,1.0936825739318627,9.326700317792604
10.0,340.0,3.0,1.09,9.9,1.0936753021652001,9.327108923749636
10.0,345.0,3.0,1.1,9.9,1.0936680303985375,9.328720581464479
10.0,350.0,3.0,1.1,9.9,1.0936207586318751,9.328130713300416
10.0,355.0,3.0,1.1,9.9,1.0934934868652126,9.333209037681925
10.0,360.0,3.0,1.09,9.9,1.0904407349566065,9.330750976972292
10.0,365.0,3.0,1.09,9.9,1.091321460181178,9.332762634687136
