Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,10.0,3.0,0.49,10.0,0.6296836137771606,10.920658111572266
10.0,15.0,3.0,0.76,9.9,0.854336678981781,10.919548034667969
10.0,20.0,3.0,1.0,10.0,0.9986631870269775,10.918441772460938
10.0,25.0,3.0,1.1,9.9,1.0470200777053833,10.917335510253906
10.0,30.0,3.0,1.08,9.9,1.059827446937561,10.920265197753906
10.0,35.0,3.0,1.07,9.9,1.086318016052246,10.926780700683594
10.0,40.0,3.0,1.07,9.8,1.116850733757019,10.930984497070312
10.0,45.0,3.0,1.08,10.0,1.1339325904846191,10.939208984375
10.0,50.0,3.0,1.09,9.9,1.1501489877700806,10.950935363769531
10.0,55.0,3.0,1.08,10.0,1.1551918983459473,10.962013244628906
10.0,60.0,3.0,1.08,9.9,1.1522164344787598,10.97308349609375
10.0,65.0,3.0,1.07,9.8,1.1503386497497559,10.984161376953125
10.0,70.0,3.0,1.07,9.9,1.1487303972244263,10.995235443115234
10.0,75.0,3.0,1.08,9.9,1.1474311351776123,11.006309509277344
10.0,80.0,3.0,1.08,9.9,1.146131992340088,11.017383575439453
10.0,85.0,3.0,1.08,9.9,1.144832730293274,11.028461456298828
10.0,90.0,3.0,1.08,9.8,1.14381742477417,11.039531707763672
10.0,95.0,3.0,1.08,9.9,1.1430690288543701,11.050605773925781
10.0,100.0,3.0,1.08,9.9,1.1425533294677734,11.06167984008789
10.0,105.0,3.0,1.09,10.0,1.1421457529067993,11.070087432861328
10.0,110.0,3.0,1.08,9.8,1.141757845878601,11.077110290527344
10.0,115.0,3.0,1.08,9.9,1.141646385192871,11.08413314819336
10.0,120.0,3.0,1.07,9.9,1.1415348052978516,11.091156005859375
10.0,125.0,3.0,1.08,9.9,1.1414625644683838,11.09817886352539
10.0,130.0,3.0,1.07,9.8,1.1414287090301514,11.105201721191406
10.0,135.0,3.0,1.08,9.9,1.1413949728012085,11.112224578857422
10.0,140.0,3.0,1.09,9.9,1.141361117362976,11.119247436523438
10.0,145.0,3.0,1.09,9.9,1.1413291692733765,11.126274108886719
10.0,150.0,3.0,1.08,9.9,1.141336441040039,11.133296966552734
10.0,155.0,3.0,1.09,9.9,1.1413565874099731,11.14031982421875
10.0,160.0,3.0,1.09,9.9,1.1413763761520386,11.1473388671875
