Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,10.0,0.31,10.0,0.42319441658023377,14.265819308281028
10.0,15.0,0.6,9.9,0.5537051894888628,12.671558822535562
10.0,20.0,0.82,10.0,0.6762728246033596,14.074990280555706
10.0,25.0,1.14,9.9,0.9382327380786746,14.011955252193951
10.0,30.0,1.1,9.8,1.0213747603848633,12.882492512630014
10.0,35.0,1.12,9.8,1.1196674237148554,12.768965605650795
10.0,40.0,1.15,9.9,1.092672303869298,14.466946329314121
10.0,45.0,1.12,10.0,1.115932480999854,12.879288289366883
10.0,50.0,1.13,9.9,1.1136550462407842,14.840332146335825
10.0,55.0,1.12,10.0,1.1100338390087283,13.39655815639395
10.0,60.0,1.13,9.8,1.1183937538889415,13.532550972342824
10.0,65.0,1.09,9.9,1.10746895430715,13.51384632814839
10.0,70.0,1.16,9.9,1.1303260592703577,13.530046328148396
10.0,75.0,1.08,9.8,1.1307864342844736,13.507179661481723
10.0,80.0,1.11,10.0,1.118787823461415,13.575719680068634
10.0,85.0,1.11,9.9,1.1272534688421376,13.619525292790593
10.0,90.0,1.13,10.0,1.1300636073257486,13.531730179381773
10.0,95.0,1.12,9.9,1.126736722495384,13.47968264997155
10.0,100.0,1.16,9.9,1.1418531762065638,14.029616823150771
10.0,105.0,1.12,9.8,1.128851644205134,12.915861535870059
10.0,110.0,1.14,9.9,1.1228370501295197,13.672978457331396
10.0,115.0,1.09,9.8,1.1177012594917888,13.618987276813533
10.0,120.0,1.13,10.0,1.1301668746892841,13.614704670175456
10.0,125.0,1.15,9.9,1.134252070486656,13.6524220017759
10.0,130.0,1.14,9.8,1.1351725679410702,13.664584276545188
10.0,135.0,1.15,9.9,1.1402370903240144,13.689717609878528
10.0,140.0,1.12,9.9,1.1239098892039778,13.708716029862249
10.0,145.0,1.13,9.8,1.1260927004481305,13.625572254296321
10.0,150.0,1.11,9.8,1.1199424671666804,13.665158846141164
10.0,155.0,1.14,10.0,1.1285189243937466,13.713794431446937
10.0,160.0,1.11,9.8,1.1198615955069287,13.650018106537562
10.0,165.0,1.14,9.9,1.1286522578015843,13.679442778918338
10.0,170.0,1.13,9.9,1.1270808879291825,13.683042778918338
10.0,175.0,1.12,9.9,1.1225030732339278,13.683042778918338
10.0,180.0,1.1,9.9,1.1152326819088105,13.683642778918337
10.0,185.0,1.13,9.9,1.1258315609957816,13.726115126436628
10.0,190.0,1.11,10.0,1.1186103128759264,13.726248459769959
10.0,195.0,1.1,9.9,1.1210883433477263,13.688758611693737
10.0,200.0,1.14,10.0,1.1291847488793683,13.694697228205646
10.0,205.0,1.12,9.9,1.1244569764054106,13.687792198885631
10.0,210.0,1.11,9.9,1.1200723752192965,13.692308146356293
10.0,215.0,1.12,9.9,1.1227211746704875,13.692241479689624
10.0,220.0,1.11,9.9,1.1200519489171654,13.689144060459583
10.0,225.0,1.12,9.9,1.1228317738734224,13.688138932254457
10.0,230.0,1.12,9.8,1.1237515988296798,13.664938932254449
10.0,235.0,1.13,10.0,1.1264910713624305,13.72820382916105
10.0,240.0,1.13,9.8,1.1273685127308197,13.727337771985878
10.0,245.0,1.11,9.8,1.1202607613093363,13.668208061341616
10.0,250.0,1.1,10.0,1.1160370663295076,13.724728127784534
10.0,255.0,1.13,9.9,1.1252935887227415,13.689647285052093
10.0,260.0,1.1,9.8,1.1160467470123347,13.71187766714282
10.0,265.0,1.12,9.9,1.122916869512729,13.670103585586677
10.0,270.0,1.12,9.8,1.1225948032054307,13.652257451426886
10.0,275.0,1.14,9.8,1.1252948583832154,13.652190784760222
10.0,280.0,1.14,9.9,1.1289841147588437,13.692204118093557
10.0,285.0,1.1,10.0,1.1173421781146988,13.716203658289421
10.0,290.0,1.14,9.8,1.1316814468199996,13.716498702627845
10.0,295.0,1.1,10.0,1.1187416878499283,13.744101736215423
10.0,300.0,1.11,9.9,1.1209948630766347,13.693479782975388
10.0,305.0,1.14,9.9,1.1294810574470024,13.69241311630872
10.0,310.0,1.12,9.9,1.12360984272024,13.700695353670472
10.0,315.0,1.13,9.8,1.1235752560069905,13.618369461307342
10.0,320.0,1.12,9.9,1.123057398455416,13.639758035682481
10.0,325.0,1.11,9.9,1.121481422391006,13.712644118052747
10.0,330.0,1.16,9.8,1.1368442927952225,13.714177451386082
10.0,335.0,1.11,9.9,1.1216357402495707,13.718451425476442
10.0,340.0,1.13,10.0,1.1268638903133459,13.730791467671214
10.0,345.0,1.12,9.9,1.1238735401891606,13.704058134337894
10.0,350.0,1.1,9.9,1.116219490435515,13.675677213410461
10.0,355.0,1.11,9.9,1.1185390293201434,13.707684222727295
10.0,360.0,1.11,9.8,1.1186865875623657,13.68016702189738
10.0,365.0,1.1,9.9,1.1239015950179536,13.709833688564055
10.0,370.0,1.11,10.0,1.1238069928893357,13.741638816769164
10.0,375.0,1.13,9.9,1.129375382245082,13.696537011218888
10.0,380.0,1.15,9.8,1.1360241913601743,13.698995742762381
10.0,385.0,1.16,9.9,1.1387719755103727,13.709659443629587
10.0,390.0,1.09,9.9,1.111187247073204,13.688206228150705
10.0,395.0,1.07,9.9,1.1041959049864114,13.738259130244112
10.0,400.0,1.14,9.9,1.105584705950767,13.726091205797001
15.0,10.0,0.26,15.0,0.36479370071400463,18.12258430074403
15.1,15.0,0.44,14.7,0.4655643437455307,16.67863988777284
15.1,20.0,0.59,15.0,0.5403457769983291,18.159750025510142
15.0,25.0,0.77,15.0,0.7515355392561216,17.897720244656945
15.1,30.0,0.94,14.7,0.9018058682286381,16.959057908568294
15.1,35.0,1.13,14.8,1.075383048070243,16.849928109233584
15.1,40.0,1.13,14.7,1.0574767899218276,18.533543127376742
15.1,45.0,1.1,15.0,1.0919720408931526,16.83549671322442
15.1,50.0,1.13,15.0,1.0972969026059114,18.93485366151157
15.1,55.0,1.11,14.8,1.1013937381943038,17.279225672115743
15.1,60.0,1.12,14.9,1.1158542893873291,17.481037963632478
15.1,65.0,1.11,14.9,1.1130232578043384,17.450578710096217
15.1,70.0,1.13,14.7,1.1235523549790165,17.448045376762874
15.1,75.0,1.15,15.1,1.1315358721649944,17.53857871009622
15.1,80.0,1.11,14.9,1.1180274282072906,17.51866814504897
15.1,85.0,1.13,15.1,1.1258589553847078,17.64364653096431
15.1,90.0,1.12,14.6,1.1244090938683218,17.543811609862754
15.1,95.0,1.13,15.0,1.126638927497254,17.42662515054311
15.1,100.0,1.13,14.6,1.1277913852264794,18.016535133285547
15.1,105.0,1.1,14.9,1.11953328393182,16.703129681904688
15.1,110.0,1.13,14.6,1.1280879851748744,17.557776833213456
15.1,115.0,1.13,14.9,1.1270983258322764,17.53827229581128
15.1,120.0,1.12,14.6,1.124904047581148,17.44705635583986
15.1,125.0,1.12,14.7,1.124842545126097,17.53412424771846
15.1,130.0,1.11,14.8,1.1212975254793398,17.56208129517867
15.1,135.0,1.12,14.9,1.1256941923349788,17.606547961845354
15.1,140.0,1.13,15.0,1.1257659843528265,17.649509715162402
15.1,145.0,1.12,15.0,1.1257899967434244,17.597299272929817
15.0,150.0,1.1,14.7,1.118307971965486,17.484651647576186
15.1,155.0,1.12,14.6,1.1262078941458697,17.5106881167471
15.1,160.0,1.14,14.9,1.1318568287122093,17.569511791837733
