Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,10.0,0.31,10.0,0.654,10.879999999999999
10.0,15.0,0.6,9.9,0.654,10.879999999999999
10.0,20.0,0.82,10.0,0.654,10.88
10.0,25.0,1.14,9.9,0.754,10.88
10.0,30.0,1.1,9.8,1.0219999999999998,11.86
10.0,35.0,1.12,9.8,1.084,12.8
10.0,40.0,1.15,9.9,1.122,11.84
10.0,45.0,1.12,10.0,1.1219999999999999,11.879999999999999
10.0,50.0,1.13,9.9,1.116,11.92
10.0,55.0,1.12,10.0,1.114,11.9
10.0,60.0,1.13,9.8,1.122,11.9
10.0,65.0,1.09,9.9,1.114,11.84
10.0,70.0,1.16,9.9,1.114,10.86
10.0,75.0,1.08,9.8,1.11,9.9
10.0,80.0,1.11,10.0,1.1179999999999999,9.92
10.0,85.0,1.11,9.9,1.11,10.860000000000001
10.0,90.0,1.13,10.0,1.1260000000000001,10.879999999999999
10.0,95.0,1.12,9.9,1.1300000000000001,10.92
10.0,100.0,1.16,9.9,1.136,10.84
10.0,105.0,1.12,9.8,1.1219999999999999,10.860000000000001
10.0,110.0,1.14,9.9,1.1280000000000001,9.879999999999999
10.0,115.0,1.09,9.8,1.126,9.88
10.0,120.0,1.13,10.0,1.126,10.84
10.0,125.0,1.15,9.9,1.128,10.86
10.0,130.0,1.14,9.8,1.1320000000000001,11.9
10.0,135.0,1.15,9.9,1.1320000000000001,12.9
10.0,140.0,1.12,9.9,1.138,11.94
10.0,145.0,1.13,9.8,1.126,11.879999999999999
10.0,150.0,1.11,9.8,1.124,11.8
10.0,155.0,1.14,10.0,1.122,12.799999999999999
10.0,160.0,1.11,9.8,1.128,11.84
10.0,165.0,1.14,9.9,1.128,11.84
10.0,170.0,1.13,9.9,1.1179999999999999,10.82
10.0,175.0,1.12,9.9,1.118,10.860000000000001
10.0,180.0,1.1,9.9,1.1179999999999999,10.92
10.0,185.0,1.13,9.9,1.112,10.919999999999998
10.0,190.0,1.11,10.0,1.116,9.94
10.0,195.0,1.1,9.9,1.12,9.94
10.0,200.0,1.14,10.0,1.116,10.9
10.0,205.0,1.12,9.9,1.1199999999999999,11.9
10.0,210.0,1.11,9.9,1.12,12.919999999999998
10.0,215.0,1.12,9.9,1.116,12.959999999999999
10.0,220.0,1.11,9.9,1.112,12.860000000000003
10.0,225.0,1.12,9.9,1.118,11.860000000000001
10.0,230.0,1.12,9.8,1.124,10.82
10.0,235.0,1.13,10.0,1.1199999999999999,10.84
10.0,240.0,1.13,9.8,1.116,10.86
10.0,245.0,1.11,9.8,1.122,10.88
10.0,250.0,1.1,10.0,1.116,10.84
10.0,255.0,1.13,9.9,1.116,10.9
10.0,260.0,1.1,9.8,1.114,9.88
10.0,265.0,1.12,9.9,1.122,9.84
10.0,270.0,1.12,9.8,1.122,10.78
10.0,275.0,1.14,9.8,1.1219999999999999,11.76
10.0,280.0,1.14,9.9,1.124,11.76
10.0,285.0,1.1,10.0,1.1199999999999999,11.8
10.0,290.0,1.14,9.8,1.1280000000000001,12.919999999999998
10.0,295.0,1.1,10.0,1.1320000000000001,11.96
10.0,300.0,1.11,9.9,1.126,10.9
10.0,305.0,1.14,9.9,1.122,10.9
10.0,310.0,1.12,9.9,1.12,11.84
10.0,315.0,1.13,9.8,1.1199999999999999,11.84
10.0,320.0,1.12,9.9,1.124,11.8
10.0,325.0,1.11,9.9,1.124,10.84
10.0,330.0,1.16,9.8,1.122,11.78
10.0,335.0,1.11,9.9,1.122,10.82
10.0,340.0,1.13,10.0,1.1280000000000001,11.78
10.0,345.0,1.12,9.9,1.118,11.8
10.0,350.0,1.1,9.9,1.124,11.78
10.0,355.0,1.11,9.9,1.116,10.84
10.0,360.0,1.11,9.8,1.11,10.92
10.0,365.0,1.1,9.9,1.112,9.9
10.0,370.0,1.11,10.0,1.1199999999999999,10.84
10.0,375.0,1.13,9.9,1.126,10.86
10.0,380.0,1.15,9.8,1.124,10.88
10.0,385.0,1.16,9.9,1.128,11.86
10.0,390.0,1.09,9.9,1.1320000000000001,11.940000000000001
10.0,395.0,1.07,9.9,1.1320000000000001,11.940000000000001
10.0,400.0,1.14,9.9,1.136,11.94
15.0,10.0,0.26,15.0,0.38199999999999995,14.819999999999999
15.1,15.0,0.44,14.7,0.41200000000000003,16.839999999999996
15.1,20.0,0.59,15.0,0.6519999999999999,15.9
15.0,25.0,0.77,15.0,0.842,14.8
15.1,30.0,0.94,14.7,1.0059999999999998,14.680000000000001
15.1,35.0,1.13,14.8,0.9599999999999997,16.64
15.1,40.0,1.13,14.7,1.04,15.760000000000002
15.1,45.0,1.1,15.0,1.124,13.86
15.1,50.0,1.13,15.0,1.122,15.760000000000002
15.1,55.0,1.11,14.8,1.118,15.8
15.1,60.0,1.12,14.9,1.12,14.86
15.1,65.0,1.11,14.9,1.124,15.780000000000001
15.1,70.0,1.13,14.7,1.118,15.86
15.1,75.0,1.15,15.1,1.11,14.86
15.1,80.0,1.11,14.9,1.12,14.7
15.1,85.0,1.13,15.1,1.112,14.76
15.1,90.0,1.12,14.6,1.12,15.719999999999999
15.1,95.0,1.13,15.0,1.118,15.680000000000001
15.1,100.0,1.13,14.6,1.122,14.74
15.1,105.0,1.1,14.9,1.124,14.8
15.1,110.0,1.13,14.6,1.122,14.719999999999999
15.1,115.0,1.13,14.9,1.1199999999999999,14.74
15.1,120.0,1.12,14.6,1.122,14.719999999999999
15.1,125.0,1.12,14.7,1.12,14.780000000000001
15.1,130.0,1.11,14.8,1.12,14.8
15.1,135.0,1.12,14.9,1.122,15.760000000000002
15.1,140.0,1.13,15.0,1.116,15.760000000000002
15.1,145.0,1.12,15.0,1.122,15.7
15.0,150.0,1.1,14.7,1.122,15.719999999999999
15.1,155.0,1.12,14.6,1.1219999999999999,14.7
15.1,160.0,1.14,14.9,1.118,15.639999999999997
15.1,165.0,1.12,14.6,1.122,16.72
15.1,170.0,1.12,14.6,1.124,15.780000000000001
15.1,175.0,1.13,14.8,1.128,17.580000000000002
15.1,180.0,1.13,15.0,1.1179999999999999,14.74
15.1,185.0,1.12,14.9,1.116,14.719999999999999
15.1,190.0,1.12,14.9,1.112,14.74
15.1,195.0,1.1,14.6,1.112,15.719999999999999
15.1,200.0,1.12,14.6,1.116,15.739999999999998
15.1,205.0,1.11,14.7,1.11,15.739999999999998
15.1,210.0,1.13,15.0,1.1179999999999999,15.84
15.1,215.0,1.1,15.0,1.112,14.86
15.1,220.0,1.11,15.0,1.114,14.84
15.1,225.0,1.11,14.6,1.108,14.780000000000001
15.1,230.0,1.12,14.6,1.112,15.7
15.0,235.0,1.1,14.7,1.116,14.66
15.1,240.0,1.13,14.6,1.118,14.62
15.1,245.0,1.13,14.8,1.116,16.619999999999997
15.0,250.0,1.12,14.7,1.1179999999999999,13.8
15.1,255.0,1.13,14.9,1.128,14.720000000000002
15.1,260.0,1.1,14.7,1.1219999999999999,14.7
15.1,265.0,1.14,14.8,1.128,14.74
15.1,270.0,1.1,14.6,1.1179999999999999,14.66
15.1,275.0,1.13,14.6,1.12,15.639999999999997
15.0,280.0,1.1,14.7,1.124,15.680000000000001
15.1,285.0,1.12,14.7,1.126,14.819999999999999
15.1,290.0,1.16,15.1,1.128,13.86
15.0,295.0,1.12,15.0,1.124,14.86
15.1,300.0,1.13,14.6,1.124,16.8
15.1,305.0,1.11,14.6,1.122,14.780000000000001
15.1,310.0,1.1,15.0,1.1179999999999999,16.639999999999997
15.1,315.0,1.12,14.6,1.112,15.719999999999999
15.1,320.0,1.11,14.7,1.112,14.76
15.1,325.0,1.11,14.8,1.1140000000000003,14.680000000000001
15.0,330.0,1.12,14.7,1.1120000000000003,14.7
15.1,335.0,1.11,14.6,1.1179999999999999,14.679999999999998
15.1,340.0,1.11,14.7,1.12,15.6
15.1,345.0,1.14,14.6,1.124,15.6
15.0,350.0,1.12,15.0,1.126,15.8
15.1,355.0,1.14,14.7,1.124,14.719999999999999
15.1,360.0,1.12,15.0,1.132,14.7
15.1,365.0,1.13,14.8,1.136,15.66
15.1,370.0,1.15,14.6,1.126,15.680000000000001
15.0,375.0,1.13,14.6,1.134,13.74
15.1,380.0,1.13,14.7,1.1300000000000001,14.76
15.1,385.0,1.13,14.9,1.1320000000000001,14.84
15.1,390.0,1.11,15.0,1.132,14.919999999999998
15.1,395.0,1.16,15.0,1.13,15.86
15.1,400.0,1.13,15.0,1.134,13.959999999999999
20.1,10.0,0.2,20.1,0.296,21.740000000000002
20.1,15.0,0.36,19.4,0.382,20.72
20.1,20.0,0.46,20.1,0.47000000000000003,19.8
20.1,25.0,0.6,20.0,0.604,19.7
20.1,30.0,0.73,19.4,0.662,20.619999999999997
